Start,Finish,Steps (count)
30-Jul-2015 00:00,31-Jul-2015 00:00,9420.0
31-Jul-2015 00:00,01-Aug-2015 00:00,9238.0
01-Aug-2015 00:00,02-Aug-2015 00:00,12322.0
02-Aug-2015 00:00,03-Aug-2015 00:00,12364.0
03-Aug-2015 00:00,04-Aug-2015 00:00,9955.0
04-Aug-2015 00:00,05-Aug-2015 00:00,12127.0
05-Aug-2015 00:00,06-Aug-2015 00:00,17719.0
06-Aug-2015 00:00,07-Aug-2015 00:00,11227.0
07-Aug-2015 00:00,08-Aug-2015 00:00,12364.0
08-Aug-2015 00:00,09-Aug-2015 00:00,14777.0
09-Aug-2015 00:00,10-Aug-2015 00:00,17299.0
10-Aug-2015 00:00,11-Aug-2015 00:00,11566.0
11-Aug-2015 00:00,12-Aug-2015 00:00,10093.0
12-Aug-2015 00:00,13-Aug-2015 00:00,19392.0
13-Aug-2015 00:00,14-Aug-2015 00:00,12809.0
14-Aug-2015 00:00,15-Aug-2015 00:00,22282.0
15-Aug-2015 00:00,16-Aug-2015 00:00,25470.0
16-Aug-2015 00:00,17-Aug-2015 00:00,13759.0
17-Aug-2015 00:00,18-Aug-2015 00:00,11079.0
18-Aug-2015 00:00,19-Aug-2015 00:00,10866.0
19-Aug-2015 00:00,20-Aug-2015 00:00,13606.0
20-Aug-2015 00:00,21-Aug-2015 00:00,15360.0
21-Aug-2015 00:00,22-Aug-2015 00:00,15341.0
22-Aug-2015 00:00,23-Aug-2015 00:00,18744.0
23-Aug-2015 00:00,24-Aug-2015 00:00,19888.0
24-Aug-2015 00:00,25-Aug-2015 00:00,13496.0
25-Aug-2015 00:00,26-Aug-2015 00:00,13809.0
26-Aug-2015 00:00,27-Aug-2015 00:00,14424.0
27-Aug-2015 00:00,28-Aug-2015 00:00,16696.0
28-Aug-2015 00:00,29-Aug-2015 00:00,20135.0
29-Aug-2015 00:00,30-Aug-2015 00:00,46450.0
30-Aug-2015 00:00,31-Aug-2015 00:00,19499.0
31-Aug-2015 00:00,01-Sep-2015 00:00,12283.0
01-Sep-2015 00:00,02-Sep-2015 00:00,13887.0
02-Sep-2015 00:00,03-Sep-2015 00:00,11659.0
03-Sep-2015 00:00,04-Sep-2015 00:00,12703.0
04-Sep-2015 00:00,05-Sep-2015 00:00,10978.0
05-Sep-2015 00:00,06-Sep-2015 00:00,21889.0
06-Sep-2015 00:00,07-Sep-2015 00:00,18393.0
07-Sep-2015 00:00,08-Sep-2015 00:00,8575.0
08-Sep-2015 00:00,09-Sep-2015 00:00,9504.0
09-Sep-2015 00:00,10-Sep-2015 00:00,14993.0
10-Sep-2015 00:00,11-Sep-2015 00:00,12933.0
11-Sep-2015 00:00,12-Sep-2015 00:00,11423.0
12-Sep-2015 00:00,13-Sep-2015 00:00,15088.0
13-Sep-2015 00:00,14-Sep-2015 00:00,12274.0
14-Sep-2015 00:00,15-Sep-2015 00:00,11873.0
15-Sep-2015 00:00,16-Sep-2015 00:00,8040.0
16-Sep-2015 00:00,17-Sep-2015 00:00,8747.0
17-Sep-2015 00:00,18-Sep-2015 00:00,19106.0
18-Sep-2015 00:00,19-Sep-2015 00:00,19524.0
19-Sep-2015 00:00,20-Sep-2015 00:00,13414.0
20-Sep-2015 00:00,21-Sep-2015 00:00,20038.0
21-Sep-2015 00:00,22-Sep-2015 00:00,9576.0
22-Sep-2015 00:00,23-Sep-2015 00:00,13902.0
23-Sep-2015 00:00,24-Sep-2015 00:00,13815.0
24-Sep-2015 00:00,25-Sep-2015 00:00,20405.0
25-Sep-2015 00:00,26-Sep-2015 00:00,11398.0
26-Sep-2015 00:00,27-Sep-2015 00:00,15199.0
27-Sep-2015 00:00,28-Sep-2015 00:00,7676.0
28-Sep-2015 00:00,29-Sep-2015 00:00,9589.0
29-Sep-2015 00:00,30-Sep-2015 00:00,11678.0
30-Sep-2015 00:00,01-Oct-2015 00:00,13839.0
01-Oct-2015 00:00,02-Oct-2015 00:00,23576.0
02-Oct-2015 00:00,03-Oct-2015 00:00,10592.0
03-Oct-2015 00:00,04-Oct-2015 00:00,22692.0
04-Oct-2015 00:00,05-Oct-2015 00:00,16106.0
05-Oct-2015 00:00,06-Oct-2015 00:00,10786.0
06-Oct-2015 00:00,07-Oct-2015 00:00,10805.0
07-Oct-2015 00:00,08-Oct-2015 00:00,4852.0
08-Oct-2015 00:00,09-Oct-2015 00:00,16823.0
09-Oct-2015 00:00,10-Oct-2015 00:00,12737.0
10-Oct-2015 00:00,11-Oct-2015 00:00,10111.0
11-Oct-2015 00:00,12-Oct-2015 00:00,20952.0
12-Oct-2015 00:00,13-Oct-2015 00:00,11154.0
13-Oct-2015 00:00,14-Oct-2015 00:00,10131.0
14-Oct-2015 00:00,15-Oct-2015 00:00,9095.0
15-Oct-2015 00:00,16-Oct-2015 00:00,51814.0
16-Oct-2015 00:00,17-Oct-2015 00:00,14660.0
17-Oct-2015 00:00,18-Oct-2015 00:00,26066.0
18-Oct-2015 00:00,19-Oct-2015 00:00,14135.0
19-Oct-2015 00:00,20-Oct-2015 00:00,10506.0
20-Oct-2015 00:00,21-Oct-2015 00:00,17854.0
21-Oct-2015 00:00,22-Oct-2015 00:00,15823.0
22-Oct-2015 00:00,23-Oct-2015 00:00,9914.0
23-Oct-2015 00:00,24-Oct-2015 00:00,20691.0
24-Oct-2015 00:00,25-Oct-2015 00:00,16006.0
25-Oct-2015 00:00,26-Oct-2015 00:00,18262.0
26-Oct-2015 00:00,27-Oct-2015 00:00,23632.0
27-Oct-2015 00:00,28-Oct-2015 00:00,8650.0
28-Oct-2015 00:00,29-Oct-2015 00:00,8929.0
29-Oct-2015 00:00,30-Oct-2015 00:00,16051.0
30-Oct-2015 00:00,31-Oct-2015 00:00,15335.0
31-Oct-2015 00:00,01-Nov-2015 00:00,21617.0
01-Nov-2015 00:00,02-Nov-2015 00:00,21381.0
02-Nov-2015 00:00,03-Nov-2015 00:00,8269.0
03-Nov-2015 00:00,04-Nov-2015 00:00,17474.0
04-Nov-2015 00:00,05-Nov-2015 00:00,16580.0
05-Nov-2015 00:00,06-Nov-2015 00:00,14884.0
06-Nov-2015 00:00,07-Nov-2015 00:00,8695.0
07-Nov-2015 00:00,08-Nov-2015 00:00,15476.0
08-Nov-2015 00:00,09-Nov-2015 00:00,23398.0
09-Nov-2015 00:00,10-Nov-2015 00:00,8030.0
10-Nov-2015 00:00,11-Nov-2015 00:00,7550.0
11-Nov-2015 00:00,12-Nov-2015 00:00,23279.0
12-Nov-2015 00:00,13-Nov-2015 00:00,22948.0
13-Nov-2015 00:00,14-Nov-2015 00:00,8615.0
14-Nov-2015 00:00,15-Nov-2015 00:00,18957.0
15-Nov-2015 00:00,16-Nov-2015 00:00,16483.0
16-Nov-2015 00:00,17-Nov-2015 00:00,7085.0
17-Nov-2015 00:00,18-Nov-2015 00:00,9402.0
18-Nov-2015 00:00,19-Nov-2015 00:00,20524.0
19-Nov-2015 00:00,20-Nov-2015 00:00,21198.0
20-Nov-2015 00:00,21-Nov-2015 00:00,9706.0
21-Nov-2015 00:00,22-Nov-2015 00:00,21585.0
22-Nov-2015 00:00,23-Nov-2015 00:00,12036.0
23-Nov-2015 00:00,24-Nov-2015 00:00,10025.0
24-Nov-2015 00:00,25-Nov-2015 00:00,9260.0
25-Nov-2015 00:00,26-Nov-2015 00:00,13558.0
26-Nov-2015 00:00,27-Nov-2015 00:00,28009.0
27-Nov-2015 00:00,28-Nov-2015 00:00,10281.0
28-Nov-2015 00:00,29-Nov-2015 00:00,14987.0
29-Nov-2015 00:00,30-Nov-2015 00:00,14921.0
30-Nov-2015 00:00,01-Dec-2015 00:00,12539.0
01-Dec-2015 00:00,02-Dec-2015 00:00,6360.0
02-Dec-2015 00:00,03-Dec-2015 00:00,16892.0
03-Dec-2015 00:00,04-Dec-2015 00:00,12775.0
04-Dec-2015 00:00,05-Dec-2015 00:00,24198.0
05-Dec-2015 00:00,06-Dec-2015 00:00,37426.0
06-Dec-2015 00:00,07-Dec-2015 00:00,23854.0
07-Dec-2015 00:00,08-Dec-2015 00:00,11237.0
08-Dec-2015 00:00,09-Dec-2015 00:00,22672.0
09-Dec-2015 00:00,10-Dec-2015 00:00,11868.0
